Epoch, TOF_1, TOF_2, TOF_3, Accel, Yaw, Pitch, Roll, LDR 
2313941984,45,97,62,233,103,89,90,667
2313941985,44,98,61,232,103,88,89,624
2313941984,42,95,65,232,103,88,90,613
2313941985,42,96,70,231,103,88,90,658
2313941984,40,96,62,230,103,88,90,635
2313941985,44,96,63,241,104,88,90,693
2313941992,42,97,59,227,104,89,90,640
2313941993,40,95,66,236,104,88,90,675
2313941984,43,93,64,233,104,88,90,684
2313941985,39,93,58,231,104,88,90,609
2313941984,41,95,62,236,104,88,90,682
2313941985,42,97,57,235,104,89,90,706
2313941984,44,97,62,235,104,89,90,613
2313941985,42,92,63,233,107,88,90,671
2313941984,43,95,65,235,107,88,90,619
2313941985,46,97,62,234,107,88,90,599
2313941992,51,93,62,230,107,89,90,641
2313941993,46,91,63,236,107,89,90,660
2313942004,45,95,62,242,107,88,90,656
2313942005,47,94,60,234,107,88,90,560
2313942004,41,94,63,238,107,89,90,610
2313942005,43,96,64,234,107,89,90,653
2313942004,46,90,68,235,107,89,90,618
2313942005,46,93,62,238,107,88,90,661
2313942004,45,96,64,232,107,88,89,570
2313942005,44,100,65,236,108,88,90,678
2313942012,47,95,60,234,108,89,90,625
2313942013,43,95,67,236,108,88,90,634
2313942004,44,95,64,233,108,88,89,635
2313942005,46,97,59,232,108,88,90,442
2313942004,42,94,66,242,108,89,90,670
2313942005,48,95,61,230,108,89,90,654
2313942004,47,99,67,236,108,89,90,656
2313942005,46,97,64,232,108,89,90,632
2313942004,43,100,67,231,108,89,90,541
2313942005,43,97,65,236,108,89,90,679
2313942012,42,93,66,233,108,89,90,668
2313942013,46,96,63,236,108,89,90,661
2313942024,47,94,63,238,108,88,90,665
2313942025,44,93,67,234,108,88,90,552
2313942024,47,94,60,235,108,89,90,624
2313942025,49,99,61,236,108,89,90,663
2313942024,43,95,61,232,108,88,90,669
2313942025,44,92,65,243,108,88,90,647
2313942024,43,90,60,224,108,88,90,636
2313942025,47,92,67,235,108,88,90,654
2313942032,43,96,60,234,108,88,90,579
2313942033,45,94,62,235,108,88,90,649
2313942024,44,95,62,235,108,89,90,598
2313942025,41,97,61,236,108,89,90,550
2313942024,46,95,63,237,108,89,90,635
2313942025,47,94,68,237,108,88,90,624
2313942024,48,93,65,232,108,89,90,627
2313942025,44,95,65,235,108,89,90,669
2313942024,43,92,66,230,108,89,90,593
2313942025,43,90,67,229,108,89,90,623
2313942032,40,94,59,239,108,89,90,573
2313942033,47,95,59,238,108,89,90,589
2313943904,42,95,66,236,108,89,90,651
2313943905,42,95,64,234,108,89,90,591
2313943904,44,89,62,237,108,89,90,663
